"","genotype","light","rep","plant","length","species"
"902","moneymaker","sun",1,11,11.409,"S.lyc"
"903","moneymaker","sun",1,12,21.173,"S.lyc"
"904","moneymaker","sun",1,13,14.36,"S.lyc"
"905","moneymaker","sun",2,1,15.882,"S.lyc"
"906","moneymaker","sun",2,2,13.504,"S.lyc"
"907","moneymaker","sun",2,3,13.25,"S.lyc"
"908","moneymaker","sun",2,4,11.427,"S.lyc"
"909","moneymaker","sun",2,5,26.063,"S.lyc"
"910","moneymaker","sun",2,6,12.589,"S.lyc"
"911","moneymaker","sun",2,7,13.725,"S.lyc"
"912","moneymaker","sun",2,8,20.113,"S.lyc"
"913","moneymaker","sun",2,9,12.794,"S.lyc"
"914","moneymaker","sun",3,1,16.639,"S.lyc"
"915","moneymaker","sun",3,2,11.071,"S.lyc"
"916","moneymaker","sun",3,3,14.466,"S.lyc"
"917","moneymaker","sun",3,4,11.904,"S.lyc"
"918","moneymaker","sun",3,5,10.881,"S.lyc"
"919","moneymaker","sun",3,6,20.203,"S.lyc"
"920","moneymaker","sun",3,7,24.65,"S.lyc"
"921","moneymaker","sun",3,8,12.896,"S.lyc"
"922","moneymaker","sun",3,9,12.441,"S.lyc"
"923","moneymaker","sun",3,10,15.447,"S.lyc"
"924","moneymaker","sun",3,11,10.879,"S.lyc"
"925","moneymaker","sun",3,12,15.244,"S.lyc"
"995","moneymaker","shade",1,1,25.104,"S.lyc"
"996","moneymaker","shade",1,2,25.316,"S.lyc"
"997","moneymaker","shade",1,3,24.458,"S.lyc"
"998","moneymaker","shade",1,4,16.528,"S.lyc"
"999","moneymaker","shade",1,5,27.218,"S.lyc"
"1000","moneymaker","shade",1,6,27.209,"S.lyc"
"1001","moneymaker","shade",1,7,17.73,"S.lyc"
"1002","moneymaker","shade",1,8,43.958,"S.lyc"
"1003","moneymaker","shade",2,1,31.184,"S.lyc"
"1004","moneymaker","shade",2,2,22.872,"S.lyc"
"1005","moneymaker","shade",2,3,26.044,"S.lyc"
"1006","moneymaker","shade",2,4,29.395,"S.lyc"
"1007","moneymaker","shade",2,5,35.087,"S.lyc"
"1008","moneymaker","shade",2,6,19.488,"S.lyc"
"1009","moneymaker","shade",3,1,35.515,"S.lyc"
"1010","moneymaker","shade",3,2,36.829,"S.lyc"
"1011","moneymaker","shade",3,3,35.632,"S.lyc"
"1012","moneymaker","shade",3,4,25.305,"S.lyc"
"1013","moneymaker","shade",3,5,38.259,"S.lyc"
"1014","moneymaker","shade",3,6,31.365,"S.lyc"
"1015","moneymaker","shade",3,7,36.577,"S.lyc"
"1016","moneymaker","shade",3,8,29.643,"S.lyc"
"1017","moneymaker","shade",3,9,24.68,"S.lyc"
"1018","moneymaker","shade",1,1,33.79,"S.lyc"
"1019","moneymaker","shade",1,2,23.49,"S.lyc"
"1020","moneymaker","shade",1,3,30.146,"S.lyc"
"1021","moneymaker","shade",1,4,27.149,"S.lyc"
"1022","moneymaker","shade",1,5,31.593,"S.lyc"
"1023","moneymaker","shade",1,6,45.679,"S.lyc"
