plant,genotype,treatment,start,flat,rep,epi,,int1,,int2,,int3,,pet1,,pet2,,pet3,,pet4,
AH6.5,A,shade,3,,1,39.62,3/14/15 14:21,52.45,3/14/15 14:21,57.32,3/14/15 14:21,40.02,3/14/15 14:21,63.69,3/14/15 14:21,98,3/14/15 14:22,51.77,3/14/15 14:22,43.39,3/14/15 14:22
B1H6.6,B1,shade,3,,1,49.02,3/14/15 14:23,73.23,3/14/15 14:23,70.23,3/14/15 14:24,36.63,3/14/15 14:24,50.42,3/14/15 14:24,74.55,3/14/15 14:24,71.44,3/14/15 14:24,38.34,3/14/15 14:25
B1H6.8,B1,shade,3,,1,58.08,3/14/15 14:26,78.64,3/14/15 14:26,73.92,3/14/15 14:26,40.11,3/14/15 14:26,46.09,3/14/15 14:26,87.66,3/14/15 14:27,76.49,3/14/15 14:27,43.49,3/14/15 14:27
2E7H6.3,2E7,shade,3,,1,36.3,3/14/15 14:28,41.36,3/14/15 14:28,65.94,3/14/15 14:29,46.49,3/14/15 14:29,61.29,3/14/15 14:29,104.17,3/14/15 14:29,88.11,3/14/15 14:29,62.01,3/14/15 14:30
QD7H6.7,QD7,shade,3,,1,85.34,3/14/15 14:31,73.92,3/14/15 14:31,25.67,3/14/15 14:31,3.29,3/14/15 14:32,39.41,3/14/15 14:32,24.73,3/14/15 14:32,13.85,3/14/15 14:32,3.94,3/14/15 14:32
AH5.8,A,shade,3,,1,31.1,3/14/15 14:33,45.02,3/14/15 14:33,52.71,3/14/15 14:33,24.23,3/14/15 14:34,49.72,3/14/15 14:34,77.95,3/14/15 14:34,50.69,3/14/15 14:35,35.54,3/14/15 14:35
TR7H5.4,TR7,shade,3,,1,38.55,3/14/15 14:36,35.23,3/14/15 14:37,34.85,3/14/15 14:37,38.95,3/14/15 14:37,43.42,3/14/15 14:37,67.79,3/14/15 14:37,73.15,3/14/15 14:37,52.23,3/14/15 14:38
TR7H5.6,TR7,shade,3,,1,40.32,3/14/15 14:39,43.44,3/14/15 14:39,51.6,3/14/15 14:39,33.21,3/14/15 14:39,73.77,3/14/15 14:39,79.77,3/14/15 14:40,84.05,3/14/15 14:40,37.55,3/14/15 14:40
TR3H5.1,TR3,shade,3,,1,37.35,3/14/15 14:41,46.78,3/14/15 14:41,56.41,3/14/15 14:41,42.08,3/14/15 14:41,45.54,3/14/15 14:42,78.1,3/14/15 14:42,84.39,3/14/15 14:42,34.6,3/14/15 14:42
2E3H5.2,2E3,shade,3,,1,19.8,3/14/15 14:43,31.75,3/14/15 14:43,44.83,3/14/15 14:43,17.53,3/14/15 14:43,23.06,3/14/15 14:43,65.13,3/14/15 14:44,69.17,3/14/15 14:44,93.22,3/14/15 14:44
3,MM,sun,4,1,2,38.38,6/4/15 7:35,33.78,6/4/15 7:35,18.93,6/4/15 7:36,16.51,6/4/15 7:36,67,6/4/15 7:36,55.74,6/4/15 7:36,66.81,6/4/15 7:37,26.9,6/4/15 7:37
19,E7,sun,4,1,2,29.42,6/4/15 7:41,34.96,6/4/15 7:41,29.43,6/4/15 7:41,20.59,6/4/15 7:41,69.37,6/4/15 7:42,80.88,6/4/15 7:42,62.33,6/4/15 7:42,37.94,6/4/15 7:42
16,E7,sun,4,1,2,27.56,6/4/15 7:46,29.47,6/4/15 7:46,30.35,6/4/15 7:46,19.63,6/4/15 7:46,66.45,6/4/15 7:47,81.72,6/4/15 7:47,64.02,6/4/15 7:47,42.67,6/4/15 7:47
39,1E3,sun,4,1,2,46.59,6/4/15 7:49,30.26,6/4/15 7:49,37.62,6/4/15 7:50,43.95,6/4/15 7:50,59.24,6/4/15 7:50,104.24,6/4/15 7:50,67.99,6/4/15 7:50,19.61,6/4/15 7:51
32,2E3,sun,4,1,2,28.63,6/4/15 7:55,29.65,6/4/15 7:55,30.9,6/4/15 7:56,18.52,6/4/15 7:56,64.53,6/4/15 7:56,60.69,6/4/15 7:56,64.37,6/4/15 7:57,22.92,6/4/15 7:57
11,B2,sun,4,1,2,23.57,6/4/15 7:58,13.53,6/4/15 7:58,23.48,6/4/15 7:58,12.7,6/4/15 7:58,56.46,6/4/15 7:58,71.9,6/4/15 7:58,43.8,6/4/15 7:59,38.47,6/4/15 7:59
35,2E7,sun,4,2,2,28.54,6/4/15 8:01,30.49,6/4/15 8:01,23.39,6/4/15 8:01,15.29,6/4/15 8:01,64.5,6/4/15 8:02,83.96,6/4/15 8:02,53.12,6/4/15 8:02,36.29,6/4/15 8:02
9,B1,sun,4,2,2,56.18,6/4/15 8:03,42.96,6/4/15 8:03,32.46,6/4/15 8:03,25.01,6/4/15 8:03,54.38,6/4/15 8:04,53.13,6/4/15 8:04,61.63,6/4/15 8:04,51.11,6/4/15 8:04
13,E3,sun,4,2,2,37.3,6/4/15 8:05,32.68,6/4/15 8:05,29.73,6/4/15 8:05,20.05,6/4/15 8:05,67.36,6/4/15 8:06,64.14,6/4/15 8:06,72.52,6/4/15 8:06,40.84,6/4/15 8:06
43,1E3,sun,4,2,2,47.69,6/4/15 8:07,35.04,6/4/15 8:07,39.22,6/4/15 8:08,20.04,6/4/15 8:08,62.18,6/4/15 8:08,88.45,6/4/15 8:08,63.52,6/4/15 8:09,41.7,6/4/15 8:09
40,1E3,sun,4,2,2,32.96,6/4/15 8:13,26.68,6/4/15 8:13,28.24,6/4/15 8:14,31.57,6/4/15 8:14,55.04,6/4/15 8:14,71.04,6/4/15 8:14,71.09,6/4/15 8:14,35.24,6/4/15 8:15
31,2E3,sun,4,2,2,25.21,6/4/15 8:16,29.01,6/4/15 8:16,25.42,6/4/15 8:16,28.69,6/4/15 8:16,64.25,6/4/15 8:16,78.53,6/4/15 8:17,66.14,6/4/15 8:17,54.21,6/4/15 8:17
23,B12,sun,4,2,2,45.61,6/4/15 8:18,35.47,6/4/15 8:18,35.02,6/4/15 8:19,19.61,6/4/15 8:19,59.65,6/4/15 8:19,80.89,6/4/15 8:20,43.86,6/4/15 8:20,37.39,6/4/15 8:21
41,1E3,sun,4,3,2,46.68,6/4/15 8:25,36.73,6/4/15 8:25,27.92,6/4/15 8:25,19.38,6/4/15 8:26,58.51,6/4/15 8:26,80.76,6/4/15 8:26,56.18,6/4/15 8:26,35.75,6/4/15 8:27
20,E7,sun,4,3,2,35.74,6/4/15 8:31,38.8,6/4/15 8:32,28.74,6/4/15 8:32,22.32,6/4/15 8:32,75.64,6/4/15 8:32,73.48,6/4/15 8:32,70.97,6/4/15 8:33,40.94,6/4/15 8:33
47,TR7,sun,4,3,2,55.73,6/4/15 8:34,52.1,6/4/15 8:34,43.04,6/4/15 8:35,28.34,6/4/15 8:35,51.12,6/4/15 8:35,75.83,6/4/15 8:35,74.36,6/4/15 8:35,68.51,6/4/15 8:36
8,B1,sun,4,3,2,62.77,6/4/15 8:37,48.59,6/4/15 8:37,37.04,6/4/15 8:37,21.84,6/4/15 8:37,59.53,6/4/15 8:38,72.46,6/4/15 8:38,50.02,6/4/15 8:38,28.4,6/4/15 8:38
6,A,sun,4,3,2,35.74,6/4/15 8:40,32.56,6/4/15 8:40,18.1,6/4/15 8:40,12.52,6/4/15 8:40,60.12,6/4/15 8:41,66.53,6/4/15 8:41,46.31,6/4/15 8:41,20.99,6/4/15 8:41
51,QD3,sun,4,3,2,63.45,6/4/15 8:42,32.48,6/4/15 8:43,18.32,6/4/15 8:43,8.2,6/4/15 8:43,47.3,6/4/15 8:43,47.05,6/4/15 8:43,28.19,6/4/15 8:44,9.69,6/4/15 8:44
18,E7,sun,4,3,2,28.41,6/4/15 8:46,33.4,6/4/15 8:46,34.55,6/4/15 8:46,23.61,6/4/15 8:46,68.1,6/4/15 8:47,94.84,6/4/15 8:47,66.63,6/4/15 8:47,31.94,6/4/15 8:47
12,B2,sun,4,4,2,22.72,6/4/15 11:29,31.48,6/4/15 11:30,24.28,6/4/15 11:30,15.19,6/4/15 11:30,58.2,6/4/15 11:30,57.22,6/4/15 11:30,46.42,6/4/15 11:30,36.07,6/4/15 11:31
22,B12,sun,4,4,2,38.77,6/4/15 11:34,29.85,6/4/15 11:34,28.75,6/4/15 11:34,19.36,6/4/15 11:34,60.17,6/4/15 11:34,64.89,6/4/15 11:34,43.86,6/4/15 11:35,33.35,6/4/15 11:35
5,A,sun,4,4,2,44.32,6/4/15 11:38,37.93,6/4/15 11:38,24.86,6/4/15 11:38,17.52,6/4/15 11:38,76.68,6/4/15 11:39,66.2,6/4/15 11:39,67.66,6/4/15 11:39,39.59,6/4/15 11:39
29,1E3,sun,4,4,2,46.04,6/4/15 11:40,37.32,6/4/15 11:40,36.58,6/4/15 11:40,25.27,6/4/15 11:41,60.28,6/4/15 11:41,98.34,6/4/15 11:41,70.82,6/4/15 11:41,42.74,6/4/15 11:41
17,E7,sun,4,4,2,29.35,6/4/15 11:42,39.51,6/4/15 11:42,32.67,6/4/15 11:43,25.81,6/4/15 11:43,68.75,6/4/15 11:43,80.95,6/4/15 11:43,68.08,6/4/15 11:43,40.79,6/4/15 11:44
33,2E3,sun,4,5,2,24.28,6/4/15 11:48,23.7,6/4/15 11:48,28.84,6/4/15 11:48,28.04,6/4/15 11:49,60.68,6/4/15 11:49,90.57,6/4/15 11:49,75.27,6/4/15 11:49,55.45,6/4/15 11:49
2,MM,sun,4,5,2,26.53,6/4/15 11:50,22.4,6/4/15 11:51,15.13,6/4/15 11:51,9.96,6/4/15 11:51,57.21,6/4/15 11:51,57.07,6/4/15 11:51,39.9,6/4/15 11:52,32.38,6/4/15 11:52
45,TR7,sun,4,5,2,35.97,6/4/15 11:52,44.01,6/4/15 11:53,44.48,6/4/15 11:53,36.32,6/4/15 11:53,54.71,6/4/15 11:53,61.12,6/4/15 11:53,90.22,6/4/15 11:54,77.19,6/4/15 11:54
26,1E3,sun,4,5,2,42.24,6/4/15 11:56,40.05,6/4/15 11:57,45.78,6/4/15 11:57,34.9,6/4/15 11:57,61.23,6/4/15 11:57,94.5,6/4/15 11:57,93.71,6/4/15 11:58,53.76,6/4/15 11:58
7,B1,sun,4,5,2,61.85,6/4/15 11:59,47.86,6/4/15 11:59,41.78,6/4/15 11:59,30.03,6/4/15 11:59,68.07,6/4/15 0:00,67.2,6/4/15 0:00,69.36,6/4/15 0:00,54.61,6/4/15 0:00
36,2E7,sun,4,5,2,39.42,6/4/15 0:01,32.47,6/4/15 0:01,27.44,6/4/15 0:01,23.42,6/4/15 0:01,75.4,6/4/15 0:02,77.22,6/4/15 0:02,72.13,6/4/15 0:02,54.73,6/4/15 0:02
27,1E3,sun,4,5,2,48.1,6/4/15 0:03,37.93,6/4/15 0:03,33.1,6/4/15 0:03,30.99,6/4/15 0:03,74.28,6/4/15 0:04,82.92,6/4/15 0:04,85.37,6/4/15 0:04,49.18,6/4/15 0:04
4,A,sun,4,6,2,40.35,6/4/15 0:06,33.3,6/4/15 0:06,30.75,6/4/15 0:06,16.23,6/4/15 0:07,71.53,6/4/15 0:07,83.62,6/4/15 0:07,42.79,6/4/15 0:07,32.34,6/4/15 0:07
14,E3,sun,4,6,2,33.89,6/4/15 0:10,33.98,6/4/15 0:10,22.58,6/4/15 0:10,21.17,6/4/15 0:11,79.26,6/4/15 0:11,90.09,6/4/15 0:11,83.78,6/4/15 0:11,43.4,6/4/15 0:11
1,MM,sun,4,6,2,25.07,6/4/15 0:13,30.21,6/4/15 0:13,18.48,6/4/15 0:13,9.06,6/4/15 0:13,56.49,6/4/15 0:13,67.37,6/4/15 0:14,49.64,6/4/15 0:14,21.99,6/4/15 0:14
10,B2,sun,4,6,2,29.1,6/4/15 0:15,26.07,6/4/15 0:15,20.06,6/4/15 0:15,9.63,6/4/15 0:15,68.2,6/4/15 0:15,61.82,6/4/15 0:15,38.18,6/4/15 0:16,25.94,6/4/15 0:16
46,TR7,sun,4,6,2,53.51,6/4/15 0:17,44.86,6/4/15 0:17,36.6,6/4/15 0:17,26.51,6/4/15 0:17,57.12,6/4/15 0:17,74.86,6/4/15 0:17,70.95,6/4/15 0:18,45.1,6/4/15 0:18
21,B12,sun,4,6,2,54.24,6/4/15 0:19,35.71,6/4/15 0:19,33.4,6/4/15 0:19,21.6,6/4/15 0:19,61.86,6/4/15 0:19,89.31,6/4/15 0:19,62.11,6/4/15 0:20,34.51,6/4/15 0:20
24,1E3,sun,4,6,2,49.75,6/4/15 0:21,36.35,6/4/15 0:21,31.36,6/4/15 0:21,22.56,6/4/15 0:21,67,6/4/15 0:21,69.29,6/4/15 0:21,63.39,6/4/15 0:22,32.03,6/4/15 0:22
103,1E3,shade,4,1,2,47.21,6/4/15 0:27,41.71,6/4/15 0:28,70.4,6/4/15 0:28,64.47,6/4/15 0:28,56.37,6/4/15 0:28,80.44,6/4/15 0:28,90.82,6/4/15 0:29,51.34,6/4/15 0:29
62,MM,shade,4,1,2,51.25,6/4/15 0:30,95.77,6/4/15 0:30,71.04,6/4/15 0:30,31.89,6/4/15 0:30,64.98,6/4/15 0:31,75.77,6/4/15 0:31,76.9,6/4/15 0:31,30.58,6/4/15 0:31
64,A,shade,4,1,2,57.98,6/4/15 0:32,71.93,6/4/15 0:32,89.28,6/4/15 0:32,35.34,6/4/15 0:33,84.47,6/4/15 0:33,96.9,6/4/15 0:33,88.83,6/4/15 0:34,50.8,6/4/15 0:34
92,1E7,shade,4,1,2,59.11,6/4/15 0:35,51.62,6/4/15 0:35,58.07,6/4/15 0:35,48.66,6/4/15 0:35,66.65,6/4/15 0:35,71.44,6/4/15 0:35,83.08,6/4/15 0:36,65.94,6/4/15 0:36
81,E7,shade,4,1,2,54.65,6/4/15 0:37,78.38,6/4/15 0:37,52.24,6/4/15 0:37,29.15,6/4/15 0:38,68.97,6/4/15 0:38,85.76,6/4/15 0:38,77.25,6/4/15 0:38,41.91,6/4/15 0:38
68,B1,shade,4,1,2,65.31,6/4/15 0:39,65.44,6/4/15 0:40,85.18,6/4/15 0:40,46.42,6/4/15 0:40,48.55,6/4/15 0:40,66.04,6/4/15 0:40,72.31,6/4/15 0:41,60.38,6/4/15 0:41
78,E7,shade,4,1,2,52.3,6/4/15 0:44,68.41,6/4/15 0:44,78.03,6/4/15 0:44,46.06,6/4/15 0:44,74.04,6/4/15 0:45,95.4,6/4/15 0:45,67.67,6/4/15 0:45,46.76,6/4/15 0:45
89,1E3,shade,4,2,2,47.87,6/4/15 0:48,39.58,6/4/15 0:48,61.06,6/4/15 0:48,56.12,6/4/15 0:48,56.61,6/4/15 0:48,85.42,6/4/15 0:49,89.7,6/4/15 0:49,76.26,6/4/15 0:50
83,B12,shade,4,2,2,74.37,6/4/15 0:50,74.65,6/4/15 0:51,90.49,6/4/15 0:51,55.87,6/4/15 0:51,51.2,6/4/15 0:51,47.22,6/4/15 0:52,65.46,6/4/15 0:52,54.44,6/4/15 0:52
66,A,shade,4,2,2,65.2,6/4/15 0:55,69.57,6/4/15 0:55,57.55,6/4/15 0:56,48.37,6/4/15 0:56,66.67,6/4/15 0:56,90.53,6/4/15 0:57,83.22,6/4/15 0:57,32.19,6/4/15 0:57
63,MM,shade,4,2,2,54.4,6/4/15 0:58,86.58,6/4/15 0:59,63.95,6/4/15 0:59,39.2,6/4/15 0:59,64.55,6/4/15 13:00,80.5,6/4/15 13:00,77.64,6/4/15 13:01,38.55,6/4/15 13:01
104,1E3,shade,4,2,2,54.64,6/4/15 13:02,44.75,6/4/15 13:02,86.09,6/4/15 13:02,53.42,6/4/15 13:02,56.8,6/4/15 13:03,78.25,6/4/15 13:03,86.58,6/4/15 13:03,44.13,6/4/15 13:03
79,E7,shade,4,2,2,61.7,6/4/15 13:05,94.27,6/4/15 13:05,90.31,6/4/15 13:05,45.43,6/4/15 13:05,82.41,6/4/15 13:06,78.26,6/4/15 13:06,85.6,6/4/15 13:06,44.48,6/4/15 13:06
67,B1,shade,4,2,2,66.34,6/4/15 13:07,65.06,6/4/15 13:07,71.66,6/4/15 13:08,54.55,6/4/15 13:08,46.55,6/4/15 13:08,72.7,6/4/15 13:08,85.46,6/4/15 13:09,38.25,6/4/15 13:09
80,E7,shade,4,3,2,49.64,6/4/15 13:15,79.58,6/4/15 13:15,63.67,6/4/15 13:15,55.53,6/4/15 13:15,65.81,6/4/15 13:16,95.33,6/4/15 13:16,99.49,6/4/15 13:16,60.62,6/4/15 13:16
93,2E3,shade,4,3,2,53.95,6/4/15 13:17,87.63,6/4/15 13:18,60.87,6/4/15 13:18,33.25,6/4/15 13:18,71.63,6/4/15 13:19,91.12,6/4/15 13:19,83.75,6/4/15 13:19,81.78,6/4/15 13:19
65,A,shade,4,3,2,67.68,6/4/15 13:22,52.82,6/4/15 13:22,39.4,6/4/15 13:23,15.8,6/4/15 13:23,80.72,6/4/15 13:23,70.43,6/4/15 13:23,61.88,6/4/15 13:23,62.12,6/4/15 13:24
115,QD7,shade,4,3,2,80.42,6/4/15 13:25,29.61,6/4/15 13:25,2.79,6/4/15 13:25,0,6/4/15 13:25,33.1,6/4/15 13:26,22.35,6/4/15 13:26,1.86,6/4/15 13:26,0,6/4/15 13:26
76,E3,shade,4,3,2,64.27,6/4/15 13:27,69.1,6/4/15 13:27,58.39,6/4/15 13:28,24.01,6/4/15 13:28,64.59,6/4/15 13:28,80.04,6/4/15 13:28,85.3,6/4/15 13:29,46.43,6/4/15 13:29
82,B12,shade,4,3,2,66.93,6/4/15 13:30,51.48,6/4/15 13:30,87.95,6/4/15 13:30,43.86,6/4/15 13:30,45.02,6/4/15 13:30,56.87,6/4/15 13:31,52.4,6/4/15 13:31,28.31,6/4/15 13:31
69,B1,shade,4,4,2,79.06,6/4/15 13:42,82.57,6/4/15 13:42,86.64,6/4/15 13:42,60.32,6/4/15 13:43,48,6/4/15 13:43,59.73,6/4/15 13:43,80.1,6/4/15 13:43,59.74,6/4/15 13:44
87,1E3,shade,4,4,2,53.74,6/4/15 13:46,69.68,6/4/15 13:46,88.07,6/4/15 13:46,55.12,6/4/15 13:46,60.94,6/4/15 13:47,82.87,6/4/15 13:47,90.42,6/4/15 13:47,45.77,6/4/15 13:47
94,2E3,shade,4,4,2,28.57,6/4/15 13:49,36.98,6/4/15 13:49,32.87,6/4/15 13:49,31.46,6/4/15 13:49,54.1,6/4/15 13:50,65.76,6/4/15 13:50,77.82,6/4/15 13:50,85.37,6/4/15 13:50
98,2E7,shade,4,4,2,67.87,6/4/15 13:52,108.97,6/4/15 13:52,59.39,6/4/15 13:52,47.42,6/4/15 13:52,72.62,6/4/15 13:52,90.61,6/4/15 13:53,92.08,6/4/15 13:53,69.25,6/4/15 13:53
105,1E3,shade,4,5,2,52.14,6/4/15 14:03,51.16,6/4/15 14:03,69.81,6/4/15 14:03,47.28,6/4/15 14:03,56.13,6/4/15 14:03,74.32,6/4/15 14:04,91.71,6/4/15 14:04,72.94,6/4/15 14:04
77,E7,shade,4,5,2,49.1,6/4/15 14:05,85.23,6/4/15 14:05,74.5,6/4/15 14:05,44.6,6/4/15 14:05,74.74,6/4/15 14:06,104.15,6/4/15 14:06,91.65,6/4/15 14:06,50.32,6/4/15 14:06
74,E3,shade,4,5,2,47.74,6/4/15 14:08,91.24,6/4/15 14:08,77,6/4/15 14:08,47.16,6/4/15 14:08,82.55,6/4/15 14:08,95.41,6/4/15 14:09,91.22,6/4/15 14:09,50.99,6/4/15 14:09
70,B2,shade,4,5,2,48.83,6/4/15 14:10,73.98,6/4/15 14:10,74.91,6/4/15 14:10,30.69,6/4/15 14:10,73.48,6/4/15 14:11,60,6/4/15 14:11,60.82,6/4/15 14:11,44.89,6/4/15 14:11
106,TR7,shade,4,5,2,56.93,6/4/15 14:15,79.53,6/4/15 14:15,53.46,6/4/15 14:15,55.4,6/4/15 14:15,62.7,6/4/15 14:15,79.43,6/4/15 14:15,88.38,6/4/15 14:16,84.9,6/4/15 14:16
85,1E3,shade,4,5,2,49.61,6/4/15 14:17,60.95,6/4/15 14:17,72.21,6/4/15 14:17,54.45,6/4/15 14:17,64.13,6/4/15 14:17,77.84,6/4/15 14:18,81.98,6/4/15 14:18,70.53,6/4/15 14:19
101,1E3,shade,4,6,2,56.9,6/4/15 14:26,56.23,6/4/15 14:26,62.43,6/4/15 14:26,39.75,6/4/15 14:26,51.97,6/4/15 14:26,77.73,6/4/15 14:27,85.51,6/4/15 14:27,51.87,6/4/15 14:27
61,MM,shade,4,6,2,66.03,6/4/15 14:45,81.51,6/4/15 14:45,42.55,6/4/15 14:45,23.1,6/4/15 14:45,70.51,6/4/15 14:46,69.56,6/4/15 14:46,63.62,6/4/15 14:46,23.14,6/4/15 14:46
118,QD7,shade,4,6,2,73.69,6/4/15 14:48,12.17,6/4/15 14:48,1.01,6/4/15 14:48,0,6/4/15 14:48,23.13,6/4/15 14:48,10.93,6/4/15 14:48,0,6/4/15 14:48,0,6/4/15 14:48
71,B2,shade,4,6,2,61.87,6/4/15 14:49,81.6,6/4/15 14:50,56.49,6/4/15 14:50,28.02,6/4/15 14:50,74.97,6/4/15 14:50,78.88,6/4/15 14:51,62.44,6/4/15 14:51,36.9,6/4/15 14:51
96,2E3,shade,4,6,2,66.84,6/4/15 14:52,68.65,6/4/15 14:52,69.43,6/4/15 14:52,44.94,6/4/15 14:52,60.85,6/4/15 14:52,93.52,6/4/15 14:53,75.87,6/4/15 14:53,54.26,6/4/15 14:53
130,B2,sun,5,1,2,28.86,6/5/15 8:47,43.57,6/5/15 8:48,36.99,6/5/15 8:48,32.84,6/5/15 8:48,61.11,6/5/15 8:48,86.22,6/5/15 8:49,81.86,6/5/15 8:49,56.53,6/5/15 8:49
168,1E3,sun,5,1,2,41.16,6/5/15 8:52,47.02,6/5/15 8:52,46.33,6/5/15 8:53,35.05,6/5/15 8:53,59.31,6/5/15 8:53,76.73,6/5/15 8:53,82.41,6/5/15 8:53,64.89,6/5/15 8:54
138,E7,sun,5,1,2,27.06,6/5/15 8:55,34.41,6/5/15 8:55,27.62,6/5/15 8:55,25.26,6/5/15 8:56,59.32,6/5/15 8:56,79.49,6/5/15 8:56,64.78,6/5/15 8:56,31.46,6/5/15 8:56
137,E3,sun,5,1,2,29.65,6/5/15 8:57,36.55,6/5/15 8:57,35.45,6/5/15 8:58,34.29,6/5/15 8:58,71.41,6/5/15 8:58,68.16,6/5/15 8:58,86.48,6/5/15 8:58,44.98,6/5/15 8:59
170,TR7,sun,5,1,2,49.65,6/5/15 9:01,48.34,6/5/15 9:01,51.35,6/5/15 9:02,33.36,6/5/15 9:02,47.67,6/5/15 9:02,63.59,6/5/15 9:02,70.56,6/5/15 9:02,33.29,6/5/15 9:03
123,MM,sun,5,1,2,24.58,6/5/15 9:05,27.73,6/5/15 9:05,23.47,6/5/15 9:05,15.89,6/5/15 9:05,73.13,6/5/15 9:05,72.38,6/5/15 9:06,65.61,6/5/15 9:06,26.79,6/5/15 9:06
175,QD3,sun,5,1,2,48.46,6/5/15 9:07,38.89,6/5/15 9:07,32.63,6/5/15 9:07,13.23,6/5/15 9:08,38.33,6/5/15 9:08,36.97,6/5/15 9:08,34.69,6/5/15 9:08,14.67,6/5/15 9:08
121,MM,sun,5,2,2,24.46,6/5/15 9:11,23.64,6/5/15 9:11,25.25,6/5/15 9:11,13.46,6/5/15 9:11,56.58,6/5/15 9:11,69.89,6/5/15 9:11,50.36,6/5/15 9:12,24.21,6/5/15 9:12
162,2E7,sun,5,2,2,45.04,6/5/15 9:20,36.11,6/5/15 9:20,33.85,6/5/15 9:20,16.03,6/5/15 9:20,76.33,6/5/15 9:20,66.86,6/5/15 9:21,46.52,6/5/15 9:21,24.61,6/5/15 9:21
169,TR7,sun,5,2,2,58.59,6/5/15 9:24,57.7,6/5/15 9:24,44.6,6/5/15 9:24,47.84,6/5/15 9:27,53.17,6/5/15 9:27,91.81,6/5/15 9:28,80.7,6/5/15 9:28,65.71,6/5/15 9:28
134,E3,sun,5,2,2,36.24,6/5/15 9:29,33.74,6/5/15 9:29,23.6,6/5/15 9:29,19.16,6/5/15 9:29,63.64,6/5/15 9:30,69.71,6/5/15 9:30,67.51,6/5/15 9:30,35.34,6/5/15 9:30
156,2E3,sun,5,2,2,24.25,6/5/15 9:32,14.67,6/5/15 9:32,14.48,6/5/15 9:32,8.47,6/5/15 9:32,51.43,6/5/15 9:32,37.94,6/5/15 9:32,23.14,6/5/15 9:32,7.53,6/5/15 9:33
176,QD3,sun,5,2,2,65.13,6/5/15 9:35,37.23,6/5/15 9:35,32.39,6/5/15 9:35,36.05,6/5/15 9:35,37.16,6/5/15 9:36,42.33,6/5/15 9:36,32.52,6/5/15 9:36,22.81,6/5/15 9:36
143,B12,sun,5,2,2,43.21,6/5/15 9:38,42.47,6/5/15 9:39,53.53,6/5/15 9:39,29.79,6/5/15 9:39,67.41,6/5/15 9:39,86.59,6/5/15 9:39,52.95,6/5/15 9:40,42.38,6/5/15 9:40
132,B2,sun,5,3,2,22.26,6/5/15 9:46,29.18,6/5/15 9:46,36.08,6/5/15 9:46,29.55,6/5/15 9:46,67.32,6/5/15 9:47,73.6,6/5/15 9:47,66.68,6/5/15 9:47,43.37,6/5/15 9:47
126,A,sun,5,3,2,29.05,6/5/15 9:51,39.11,6/5/15 9:51,40.59,6/5/15 9:51,24.27,6/5/15 9:51,74.7,6/5/15 9:51,84.69,6/5/15 9:52,77.7,6/5/15 9:52,36.92,6/5/15 9:52
161,2E7,sun,5,3,2,46.06,6/5/15 9:53,32.03,6/5/15 9:53,31.5,6/5/15 9:53,14.78,6/5/15 9:54,67.2,6/5/15 9:54,61.5,6/5/15 9:54,48.03,6/5/15 9:54,42.02,6/5/15 9:55
A,QD7,sun,5,3,2,82.67,6/5/15 9:57,42.87,6/5/15 9:58,9.01,6/5/15 9:58,0,6/5/15 9:58,21.03,6/5/15 9:58,22.15,6/5/15 9:58,5.53,6/5/15 9:58,0,6/5/15 9:58
128,B1,sun,5,3,2,53.71,6/5/15 9:59,46.4,6/5/15 9:59,50.85,6/5/15 9:59,37.19,6/5/15 10:00,56.01,6/5/15 10:00,73.82,6/5/15 10:00,78.93,6/5/15 10:00,51.3,6/5/15 10:01
151,1E7,sun,5,3,2,76.12,6/5/15 10:02,64.18,6/5/15 10:02,46.83,6/5/15 10:02,24.71,6/5/15 10:02,55.09,6/5/15 10:03,67.78,6/5/15 10:03,57.82,6/5/15 10:03,51.78,6/5/15 10:03
131,B2,sun,5,4,2,21.26,6/5/15 11:39,30.49,6/5/15 11:39,27.22,6/5/15 11:39,24.81,6/5/15 11:39,80.66,6/5/15 11:39,74.93,6/5/15 11:39,72.16,6/5/15 11:39,63.61,6/5/15 11:40
160,2E7,sun,5,4,2,30.24,6/5/15 11:40,36.96,6/5/15 11:40,38.24,6/5/15 11:41,23.69,6/5/15 11:41,77.58,6/5/15 11:41,82.64,6/5/15 11:41,76.9,6/5/15 11:41,49.5,6/5/15 11:42
174,QD3,sun,5,4,2,62.13,6/5/15 11:42,26.52,6/5/15 11:42,22.67,6/5/15 11:42,18.27,6/5/15 11:43,35.98,6/5/15 11:43,49.04,6/5/15 11:43,33.75,6/5/15 11:43,21.54,6/5/15 11:43
171,TR7,sun,5,4,2,45.17,6/5/15 11:44,51.01,6/5/15 11:44,39.71,6/5/15 11:45,40.54,6/5/15 11:45,55.28,6/5/15 11:46,72.97,6/5/15 11:46,82.11,6/5/15 11:46,49.02,6/5/15 11:46
152,1E7,sun,5,4,2,62.19,6/5/15 11:47,47.99,6/5/15 11:47,37.76,6/5/15 11:48,32.38,6/5/15 11:48,71.7,6/5/15 11:48,79.94,6/5/15 11:48,68.47,6/5/15 11:49,36,6/5/15 11:49
144,E7,sun,5,4,2,35.35,6/5/15 11:52,32.24,6/5/15 11:52,22.83,6/5/15 11:52,38.47,6/5/15 11:52,58.84,6/5/15 11:52,87.33,6/5/15 11:52,84.96,6/5/15 11:53,44.89,6/5/15 11:53
