plant,genotype,treatment,start,flat,rep,epi,,int1,,int2,,int3,,pet1,,pet2,,pet3,,pet4,
AS1.1,A,sun,1,,1,19.95,3/12/15 13:15,21.41,3/12/15 13:16,22.06,3/12/15 13:16,14.67,3/12/15 13:16,50.85,3/12/15 13:16,60.32,3/12/15 13:16,65.75,3/12/15 13:16,35.86,3/12/15 13:17
TR3S1.8,TR3,sun,1,,1,21.98,3/12/15 13:18,30.94,3/12/15 13:18,24.56,3/12/15 13:18,23.91,3/12/15 13:18,45.75,3/12/15 13:18,75.23,3/12/15 13:19,62.39,3/12/15 13:19,36.87,3/12/15 13:19
TR7S1.5,TR7,sun,1,,1,37.49,3/12/15 13:22,36.53,3/12/15 13:22,48.34,3/12/15 13:22,37.39,3/12/15 13:22,17.67,3/12/15 13:22,33.31,3/12/15 13:23,32.56,3/12/15 13:23,37.07,3/12/15 13:23
E3H6.4,E3,shade,1,,1,32.88,3/12/15 13:51,31.67,3/12/15 13:51,34.07,3/12/15 13:52,27.27,3/12/15 13:52,52.82,3/12/15 13:52,69.14,3/12/15 13:53,61.06,3/12/15 13:53,42.05,3/12/15 13:53
B1H6.3,B1,shade,1,,1,53.03,3/12/15 13:54,56.85,3/12/15 13:54,66.32,3/12/15 13:54,40.87,3/12/15 13:55,45.94,3/12/15 13:55,70.97,3/12/15 13:55,67.8,3/12/15 13:55,43.78,3/12/15 13:56
E3H6.2,E3,shade,1,,1,33.76,3/12/15 13:56,40.71,3/12/15 13:57,52.78,3/12/15 13:57,37.25,3/12/15 13:57,54.6,3/12/15 13:57,91.92,3/12/15 13:58,77.64,3/12/15 13:58,50.64,3/12/15 13:58
QD7H6.1,QD7,shade,1,,1,58.51,3/12/15 13:59,67.34,3/12/15 14:00,87.21,3/12/15 14:00,31.22,3/12/15 14:00,40.92,3/12/15 14:00,48,3/12/15 14:00,30.83,3/12/15 14:01,16.85,3/12/15 14:01
B12H6.7,B12,shade,1,,1,55.54,3/12/15 14:04,33.18,3/12/15 14:04,41.34,3/12/15 14:04,22.89,3/12/15 14:04,29.22,3/12/15 14:05,45.94,3/12/15 14:05,26.04,3/12/15 14:05,14,3/12/15 14:05
QD3H6.6,QD3,shade,1,,1,54.63,3/12/15 14:10,44.85,3/12/15 14:10,24.69,3/12/15 14:10,2.78,3/12/15 14:10,26.65,3/12/15 14:11,28.63,3/12/15 14:11,11.71,3/12/15 14:11,4.65,3/12/15 14:11
MMH6.5,MM,shade,1,,1,26.07,3/12/15 14:12,32.24,3/12/15 14:12,30.14,3/12/15 14:13,9.76,3/12/15 14:13,66.22,3/12/15 14:13,84.19,3/12/15 14:13,72.34,3/12/15 14:14,34.27,3/12/15 14:14
B2H2.3,B2,shade,1,,1,32.94,3/12/15 14:15,48.73,3/12/15 14:16,59.19,3/12/15 14:16,41.24,3/12/15 14:16,49.21,3/12/15 14:16,85.47,3/12/15 14:16,71.8,3/12/15 14:17,64.26,3/12/15 14:17
2E3H2.2,2E3,shade,1,,1,32.26,3/12/15 14:18,54.5,3/12/15 14:18,78.16,3/12/15 14:19,48.79,3/12/15 14:19,59.21,3/12/15 14:19,96.98,3/12/15 14:19,84.78,3/12/15 14:20,48.64,3/12/15 14:20
QD7H2.1,QD7,shade,1,,1,73.65,3/12/15 14:21,40.13,3/12/15 14:21,9.28,3/12/15 14:21,1.25,3/12/15 14:22,20.44,3/12/15 14:22,24.79,3/12/15 14:22,6.92,3/12/15 14:23,0.01,3/12/15 14:23
MMH2.8,MM,shade,1,,1,26.73,3/12/15 14:23,28.77,3/12/15 14:24,31.87,3/12/15 14:24,46.03,3/12/15 14:24,40.79,3/12/15 14:24,81.32,3/12/15 14:25,89.99,3/12/15 14:25,52.97,3/12/15 14:25
E7H2.7,E7,shade,1,,1,33.29,3/12/15 14:26,43.5,3/12/15 14:26,47.73,3/12/15 14:26,44.3,3/12/15 14:26,54.49,3/12/15 14:27,86.08,3/12/15 14:27,79.28,3/12/15 14:27,76.31,3/12/15 14:27
2E7H2.6,2E7,shade,1,,1,35.77,3/12/15 14:28,68.08,3/12/15 14:29,72.32,3/12/15 14:29,34.43,3/12/15 14:29,48.91,3/12/15 14:30,71.45,3/12/15 14:30,73.73,3/12/15 14:30,44.17,3/12/15 14:30
1E3H2.5,1E3,shade,1,,1,34.66,3/12/15 14:31,49.27,3/12/15 14:32,47.18,3/12/15 14:32,22.06,3/12/15 14:32,41.33,3/12/15 14:32,72.87,3/12/15 14:32,50.36,3/12/15 14:33,24.03,3/12/15 14:33
QD7H1.4,QD7,shade,1,,1,77.87,3/12/15 14:34,44.06,3/12/15 14:34,7.17,3/12/15 14:35,0.01,3/12/15 14:35,27.85,3/12/15 14:35,20.15,3/12/15 14:35,3.77,3/12/15 14:36,0.01,3/12/15 14:36
B1H1.3,B1,shade,1,,1,48.61,3/12/15 14:36,71.12,3/12/15 14:37,41.45,3/12/15 14:37,45.6,3/12/15 14:38,39.84,3/12/15 14:38,57.04,3/12/15 14:38,64.87,3/12/15 14:39,36.17,3/12/15 14:39
QD3H1.6,QD3,shade,1,,1,73.81,3/12/15 14:40,55.21,3/12/15 14:40,9.34,3/12/15 14:40,1.6,3/12/15 14:40,30.01,3/12/15 14:41,23.21,3/12/15 14:41,7.35,3/12/15 14:41,3.04,3/12/15 14:41
TR7H1.5,TR7,shade,1,,1,61.74,3/12/15 14:42,57.48,3/12/15 14:42,83.92,3/12/15 14:42,54.96,3/12/15 14:43,30,3/12/15 14:43,44.76,3/12/15 14:43,59.1,3/12/15 14:43,57.73,3/12/15 14:44
AH5.5,A,shade,1,,1,32.53,3/12/15 15:28,45.84,3/12/15 15:28,41.98,3/12/15 15:28,31.59,3/12/15 15:28,61.37,3/12/15 15:29,70.77,3/12/15 15:29,70.81,3/12/15 15:31,32.7,3/12/15 15:31
E3H5.6,E3,shade,1,,1,33.41,3/12/15 15:32,38.45,3/12/15 15:32,50.87,3/12/15 15:32,33.7,3/12/15 15:32,55,3/12/15 15:33,91.71,3/12/15 15:33,78.85,3/12/15 15:33,43.13,3/12/15 15:33
2E7H5.7,2E7,shade,1,,1,47.03,3/12/15 15:34,65.37,3/12/15 15:34,62.14,3/12/15 15:34,27.64,3/12/15 15:35,63.8,3/12/15 15:35,86.97,3/12/15 15:35,72.09,3/12/15 15:35,33.05,3/12/15 15:36
B1H5.8,B1,shade,1,,1,49.08,3/12/15 15:37,66.02,3/12/15 15:37,48.98,3/12/15 15:37,24.09,3/12/15 15:37,39.23,3/12/15 15:37,59.16,3/12/15 15:38,49.27,3/12/15 15:38,19.88,3/12/15 15:38
E7H5.1,E7,shade,1,,1,36.96,3/12/15 15:39,42.33,3/12/15 15:39,50.02,3/12/15 15:39,25.83,3/12/15 15:40,58.31,3/12/15 15:40,80.06,3/12/15 15:40,72.05,3/12/15 15:40,34.67,3/12/15 15:40
1E3H5.3,1E3,shade,1,,1,46.34,3/12/15 15:41,39.33,3/12/15 15:41,33.92,3/12/15 15:42,43.76,3/12/15 15:42,54.55,3/12/15 15:42,80.93,3/12/15 15:42,88.49,3/12/15 15:43,47.47,3/12/15 15:43
B12H5.4,B12,shade,1,,1,58.43,3/12/15 15:44,63.95,3/12/15 15:44,91.68,3/12/15 15:45,31.15,3/12/15 15:45,37.02,3/12/15 15:45,53.34,3/12/15 15:45,49.54,3/12/15 15:46,31.97,3/12/15 15:46
E7H4.5,E7,shade,1,,1,32.35,3/12/15 15:49,40.62,3/12/15 15:49,49.74,3/12/15 15:50,37.02,3/12/15 15:50,48.43,3/12/15 15:50,78.53,3/12/15 15:50,76.03,3/12/15 15:50,38.77,3/12/15 15:51
2E3H4.x,2E3,shade,1,,1,30.1,3/12/15 15:53,52.49,3/12/15 15:53,62.34,3/12/15 15:53,57.7,3/12/15 15:54,61.73,3/12/15 15:54,80.98,3/12/15 15:54,87.73,3/12/15 15:55,60.69,3/12/15 15:55
B2H4.2,B2,shade,1,,1,32.43,3/12/15 15:56,45.57,3/12/15 15:56,47.53,3/12/15 15:56,34.74,3/12/15 15:56,52.34,3/12/15 15:57,74.02,3/12/15 15:57,62.31,3/12/15 15:57,47.86,3/12/15 15:57
1E7H3.4,1E7,shade,1,,1,42.35,3/12/15 15:59,41.19,3/12/15 15:59,44.3,3/12/15 15:59,33.34,3/12/15 15:59,54.29,3/12/15 15:59,93.69,3/12/15 16:00,82.02,3/12/15 16:00,37.72,3/12/15 16:00
AH3.3,A,shade,1,,1,35.52,3/12/15 16:01,48.41,3/12/15 16:01,42.12,3/12/15 16:01,26.49,3/12/15 16:02,59.05,3/12/15 16:02,85.82,3/12/15 16:02,70.15,3/12/15 16:02,43.84,3/12/15 16:03
B12H3.2,B12,shade,1,,1,51.39,3/12/15 16:04,66.17,3/12/15 16:04,82.55,3/12/15 16:05,41.59,3/12/15 16:05,52.21,3/12/15 16:05,57.29,3/12/15 16:05,61.9,3/12/15 16:05,60.18,3/12/15 16:06
B2H3.1,B2,shade,1,,1,27.94,3/12/15 16:07,47.54,3/12/15 16:07,37.13,3/12/15 16:07,16.21,3/12/15 16:07,39.2,3/12/15 16:07,47.13,3/12/15 16:07,40.82,3/12/15 16:08,25.71,3/12/15 16:08
TR7H3.8,TR7,shade,1,,1,54.83,3/12/15 16:09,64.49,3/12/15 16:09,80.63,3/12/15 16:09,38.2,3/12/15 16:09,31.89,3/12/15 16:09,42.04,3/12/15 16:10,53.9,3/12/15 16:10,36.77,3/12/15 16:10
QD3H3.7,QD3,shade,1,,1,52.17,3/12/15 16:12,53.79,3/12/15 16:12,7.39,3/12/15 16:12,0,3/12/15 16:12,33.29,3/12/15 16:13,16.84,3/12/15 16:13,6.62,3/12/15 16:13,0,3/12/15 16:13
1E3H3.6,1E3,shade,1,,1,40.04,3/12/15 16:14,43.12,3/12/15 16:14,34.53,3/12/15 16:14,24.56,3/12/15 16:15,49.91,3/12/15 16:15,84.29,3/12/15 16:15,65.07,3/12/15 16:15,29.01,3/12/15 16:15
2E7H3.5,2E7,shade,1,,1,34.4,3/12/15 16:16,41.81,3/12/15 16:16,46.31,3/12/15 16:17,30.61,3/12/15 16:17,73.44,3/12/15 16:17,102.04,3/12/15 16:17,88.42,3/12/15 16:17,55.55,3/12/15 16:18
QD3S1.8,QD3,sun,2,,1,56.98,3/13/15 9:44,62.25,3/13/15 9:45,3.55,3/13/15 9:45,0,3/13/15 9:45,29.56,3/13/15 9:46,18.29,3/13/15 9:46,1.95,3/13/15 9:46,0,3/13/15 9:46
1E7S1.7,1E7,sun,2,,1,32.13,3/13/15 9:48,31.28,3/13/15 9:48,42.78,3/13/15 9:48,28.81,3/13/15 9:48,45.06,3/13/15 9:49,78.81,3/13/15 9:49,77.21,3/13/15 9:49,38.71,3/13/15 9:50
2E7S1.6,2E7,sun,2,,1,32.77,3/13/15 9:50,33.02,3/13/15 9:51,33.8,3/13/15 9:51,17.34,3/13/15 9:51,52.51,3/13/15 9:51,76.2,3/13/15 9:51,65.33,3/13/15 9:52,41.78,3/13/15 9:52
E3S1.5,E3,sun,2,,1,24.8,3/13/15 9:53,29.51,3/13/15 9:53,22.47,3/13/15 9:53,20.43,3/13/15 9:53,59.03,3/13/15 9:54,79.36,3/13/15 9:54,65.17,3/13/15 9:54,34.48,3/13/15 9:54
B1S1.3,B1,sun,2,,1,38.98,3/13/15 9:55,51.57,3/13/15 9:55,45.88,3/13/15 9:56,39.4,3/13/15 9:56,67.86,3/13/15 9:56,60.82,3/13/15 9:57,66.43,3/13/15 9:57,38.41,3/13/15 9:58
AS1.2,A,sun,2,,1,25.36,3/13/15 9:58,31.82,3/13/15 9:59,28.25,3/13/15 9:59,23.11,3/13/15 9:59,64.26,3/13/15 10:00,80.52,3/13/15 10:00,80.46,3/13/15 10:00,33.35,3/13/15 10:00
1E7S1.1,1E7,sun,2,,1,44.01,3/13/15 10:01,27.31,3/13/15 10:01,25.27,3/13/15 10:02,27.85,3/13/15 10:02,53.32,3/13/15 10:02,75.62,3/13/15 10:02,62.23,3/13/15 10:02,61.14,3/13/15 10:03
QD7S2.1,QD7,sun,2,,1,100.2,3/13/15 10:04,8.37,3/13/15 10:04,14.6,3/13/15 10:04,0,3/13/15 10:05,24.5,3/13/15 10:05,24.17,3/13/15 10:05,4.12,3/13/15 10:05,0,3/13/15 10:05
1E3S2.2,1E3,sun,2,,1,33.04,3/13/15 10:06,27.99,3/13/15 10:06,17.78,3/13/15 10:07,23.78,3/13/15 10:07,62.26,3/13/15 10:07,74.33,3/13/15 10:07,62.14,3/13/15 10:08,43.86,3/13/15 10:08
E7S2.3,E7,sun,2,,1,24.55,3/13/15 10:09,28.34,3/13/15 10:09,27.4,3/13/15 10:09,17.89,3/13/15 10:09,56.73,3/13/15 10:10,59.65,3/13/15 10:10,53.01,3/13/15 10:10,47.85,3/13/15 10:10
E3S2.4,E3,sun,2,,1,24.34,3/13/15 10:11,32.76,3/13/15 10:11,24.66,3/13/15 10:12,19.89,3/13/15 10:12,66.88,3/13/15 10:12,76.64,3/13/15 10:12,63.17,3/13/15 10:12,33.11,3/13/15 10:13
B2S2.5,B2,sun,2,,1,14.9,3/13/15 10:14,21.43,3/13/15 10:14,27.96,3/13/15 10:14,19.46,3/13/15 10:14,46.87,3/13/15 10:14,76.73,3/13/15 10:15,70.61,3/13/15 10:15,66.68,3/13/15 10:15
B2S2.7,B2,sun,2,,1,22.97,3/13/15 10:16,33.46,3/13/15 10:16,36.63,3/13/15 10:17,22.26,3/13/15 10:17,58.23,3/13/15 10:17,76.54,3/13/15 10:17,48.33,3/13/15 10:18,41.11,3/13/15 10:18
B1S2.8,B1,sun,2,,1,39.18,3/13/15 10:19,32.46,3/13/15 10:19,53.72,3/13/15 10:19,43.24,3/13/15 10:19,48.36,3/13/15 10:19,73.03,3/13/15 10:19,72.4,3/13/15 10:19,47.55,3/13/15 10:20
MMS3.8,MM,sun,2,,1,31.74,3/13/15 10:22,30.61,3/13/15 10:22,33.4,3/13/15 10:22,26.24,3/13/15 10:22,76.36,3/13/15 10:22,93.71,3/13/15 10:23,83.87,3/13/15 10:23,42.05,3/13/15 10:23
2E3S3.5,2E3,sun,2,,1,25.3,3/13/15 10:24,32.26,3/13/15 10:24,50.84,3/13/15 10:24,17.16,3/13/15 10:24,58.94,3/13/15 10:24,77.11,3/13/15 10:25,59.2,3/13/15 10:25,47.12,3/13/15 10:25
2E3S3.3,2E3,sun,2,,1,19.21,3/13/15 10:26,31.13,3/13/15 10:26,29.32,3/13/15 10:26,22.15,3/13/15 10:27,70.57,3/13/15 10:27,76.67,3/13/15 10:27,76.85,3/13/15 10:27,36.7,3/13/15 10:28
AS3.1,A,sun,2,,1,22.96,3/13/15 10:28,28,3/13/15 10:29,28.6,3/13/15 10:29,16.56,3/13/15 10:29,57.52,3/13/15 10:29,52.58,3/13/15 10:29,43.62,3/13/15 10:30,32.07,3/13/15 10:30
2E7S6.3,2E7,sun,2,,1,30.73,3/13/15 11:47,20.16,3/13/15 11:47,13.52,3/13/15 11:47,12.27,3/13/15 11:48,66.14,3/13/15 11:48,71.75,3/13/15 11:48,55.49,3/13/15 11:48,35.23,3/13/15 11:50
MMS6.2,MM,sun,2,,1,18.59,3/13/15 11:51,23.85,3/13/15 11:51,16.71,3/13/15 11:51,13.39,3/13/15 11:51,62.22,3/13/15 11:51,92.06,3/13/15 11:52,69.12,3/13/15 11:52,38.12,3/13/15 11:53
E7S6.7,E7,sun,2,,1,20.86,3/13/15 11:53,28.77,3/13/15 11:53,27.05,3/13/15 11:53,22.9,3/13/15 11:54,65.94,3/13/15 11:54,89.84,3/13/15 11:54,68.17,3/13/15 11:54,60.07,3/13/15 11:55
QD7S6.8,QD7,sun,2,,1,97.9,3/13/15 11:56,25.6,3/13/15 11:56,28.64,3/13/15 11:56,2.88,3/13/15 11:56,25.56,3/13/15 11:56,28.91,3/13/15 11:57,14.43,3/13/15 11:57,3.39,3/13/15 11:57
B12S5.5,B12,sun,2,,1,43.39,3/13/15 11:58,40.91,3/13/15 11:58,46.75,3/13/15 11:58,22,3/13/15 11:58,57.17,3/13/15 11:59,71.66,3/13/15 11:59,57.81,3/13/15 11:59,39.19,3/13/15 11:59
TR7S5.6,TR7,sun,2,,1,42.74,3/13/15 0:00,47.9,3/13/15 0:00,47.05,3/13/15 0:00,31.45,3/13/15 0:01,61.23,3/13/15 0:01,80.73,3/13/15 0:01,74.73,3/13/15 0:01,34.7,3/13/15 0:02
AS5.7,A,sun,2,,1,25.47,3/13/15 0:03,34.63,3/13/15 0:03,24.8,3/13/15 0:03,20.87,3/13/15 0:04,60.97,3/13/15 0:04,87.91,3/13/15 0:04,45.43,3/13/15 0:05,53.33,3/13/15 0:05
E7S5.8,E7,sun,2,,1,20.07,3/13/15 0:06,28.91,3/13/15 0:06,26.08,3/13/15 0:06,25.09,3/13/15 0:07,57.96,3/13/15 0:07,63.42,3/13/15 0:07,75.55,3/13/15 0:07,40.98,3/13/15 0:07
QD3S5.4,QD3,sun,2,,1,59.82,3/13/15 0:08,60.95,3/13/15 0:09,34.31,3/13/15 0:09,5.81,3/13/15 0:09,29.64,3/13/15 0:10,28.62,3/13/15 0:10,15.47,3/13/15 0:10,14.23,3/13/15 0:11
2E7S5.3,2E7,sun,2,,1,23.99,3/13/15 0:13,23.39,3/13/15 0:13,27.24,3/13/15 0:13,17.2,3/13/15 0:13,74.78,3/13/15 0:13,90.75,3/13/15 0:14,62.57,3/13/15 0:14,32.03,3/13/15 0:14
2E3S5.1,2E3,sun,2,,1,18.06,3/13/15 0:18,16.9,3/13/15 0:18,16.33,3/13/15 0:18,12,3/13/15 0:18,56.73,3/13/15 0:19,53.88,3/13/15 0:19,40.65,3/13/15 0:19,16.7,3/13/15 0:19
B1S5.2,B1,sun,2,,1,36.25,3/13/15 0:21,49.57,3/13/15 0:21,33.53,3/13/15 0:21,29.33,3/13/15 0:21,61.55,3/13/15 0:22,67.95,3/13/15 0:22,71.64,3/13/15 0:22,41.32,3/13/15 0:22
B12S4.4,B12,sun,2,,1,31.78,3/13/15 0:24,30.78,3/13/15 0:24,32.66,3/13/15 0:24,22.7,3/13/15 0:24,47.21,3/13/15 0:25,68.71,3/13/15 0:25,66.12,3/13/15 0:25,48.6,3/13/15 0:25
MMS4.3,MM,sun,2,,1,22.04,3/13/15 0:26,24.17,3/13/15 0:26,21.1,3/13/15 0:27,8.01,3/13/15 0:27,69.58,3/13/15 0:27,84.38,3/13/15 0:27,48.5,3/13/15 0:28,49.43,3/13/15 0:28
QD7S4.2,QD7,sun,2,,1,66.98,3/13/15 0:29,21.34,3/13/15 0:29,3.48,3/13/15 0:29,0.02,3/13/15 0:29,17.14,3/13/15 0:29,19.38,3/13/15 0:30,3.26,3/13/15 0:30,0,3/13/15 0:30
