plant,flat,position,genotype,treatment,date,week,day,petiole1,petiole2,petiole3,petiole4,internode1,internode2,internode3
105LTL,10,5,fel-1,shade,10/8/10,4,9,40.41,30.25,21.71,13.69,19.06,14.21,6.12
106L12,10,6,phyB2/phyB1,shade,10/8/10,4,9,36.09,37.44,19.33,13.49,38.24,17.5,9.34
106LVF,10,6,VFNT Cherry,shade,10/8/10,4,9,40.86,30.46,23.86,9.73,14.75,11.66,5.21
107L82,10,7,M82,shade,10/8/10,4,9,29.14,12.97,3.17,1.16,12.11,3.49,0.66
61LB1,6,1,phyB1,shade,10/8/10,4,9,54,31.14,13.35,2.86,19.49,8.73,2.47
62L82,6,2,M82,shade,10/8/10,4,9,39.3,18.28,7.28,1.18,11.9,8.66,0.63
63LMM,6,3,Moneymaker,shade,10/8/10,4,9,44.44,29.86,23.55,11.34,17.72,9.76,5.13
64LVF,6,4,VFNT Cherry,shade,10/8/10,4,9,40.17,35.08,27.36,12.17,18.94,11.93,5.97
65LH2,6,5,HP2,shade,10/8/10,4,9,26.88,13.74,4.4,1.13,5.37,3.02,0.91
66L12,6,6,phyB2/phyB1,shade,10/8/10,4,9,48.62,28.23,6.94,1.55,25.6,7.66,1.07
67LTL,6,7,fel-1,shade,10/8/10,4,9,38.64,31.08,9.75,2.56,17.83,15.05,6.33
68LB2,6,8,phyB2,shade,10/8/10,4,9,47.55,33.7,18.92,4.48,21.91,12.29,4.08
71LMM,7,1,Moneymaker,shade,10/8/10,4,9,46.52,29.11,7.01,2.45,15.64,6.01,1.18
72L82,7,2,M82,shade,10/8/10,4,9,26.48,16.19,3.75,0.61,10.48,5.3,0.48
73L12,7,3,phyB2/phyB1,shade,10/8/10,4,9,47.51,25.05,12.73,3.7,23.63,13.05,3.11
74LB1,7,4,phyB1,shade,10/8/10,4,9,46.87,29.44,10.09,2.64,22.43,8.81,2.31
75LVF,7,5,VFNT Cherry,shade,10/8/10,4,9,48.13,41.48,32.3,16.88,21.91,17,7.02
76LB2,7,6,phyB2,shade,10/8/10,4,9,59.43,38.5,12.55,4.49,19.96,9.81,2.69
77LTL,7,7,fel-1,shade,10/8/10,4,9,31.07,21.95,10.9,3.51,12.74,8.41,3.04
78LH2,7,8,HP2,shade,10/8/10,4,9,27.53,16.63,3.67,0.66,5.37,1.96,0.4
81LH2,8,1,HP2,shade,10/8/10,4,9,25.54,13.47,4.25,0.97,5.52,2.66,0.53
82L82,8,2,M82,shade,10/8/10,4,9,42.71,21.47,5.77,1.76,13.24,6.18,0.69
83LMM,8,3,Moneymaker,shade,10/8/10,4,9,33.17,22.86,4.63,1.62,12.11,4.35,0.79
84LB1,8,4,phyB1,shade,10/8/10,4,9,50.29,27.75,10.87,2.18,18.59,6.48,2.11
85LB2,8,5,phyB2,shade,10/8/10,4,9,56.87,30.34,8.09,3.43,11.29,6.14,1.64
86LTL,8,6,fel-1,shade,10/8/10,4,9,35.4,24.55,15.19,4.98,13.55,7.66,3.22
87LVF,8,7,VFNT Cherry,shade,10/8/10,4,9,40.17,33.66,13.56,8.16,14.12,9.01,4.36
88L12,8,8,phyB2/phyB1,shade,10/8/10,4,9,49.58,22.43,7.87,2.98,18.2,7.67,2.03
91LMM,9,1,Moneymaker,shade,10/8/10,4,9,41.08,19.37,6.15,2.7,12.55,5.98,1.45
92L82,9,2,M82,shade,10/8/10,4,9,34.7,16.12,5.75,1.31,14.86,5.41,1.1
93LB2,9,3,phyB2,shade,10/8/10,4,9,44.39,37.02,16.8,4.37,18.63,9.33,2.45
94LH2,9,4,HP2,shade,10/8/10,4,9,31.99,25.39,7.69,5.04,9.39,4.72,0.98
96L12,9,6,phyB2/phyB1,shade,10/8/10,4,9,42.7,23.17,11.69,2.35,19.81,10.7,2.28
