genotype,light,rep,plant,length,species
hy2,sun,3,6,7.619,Ler
hy2,sun,3,7,7.494,Ler
hy2,sun,3,8,7.366,Ler
hy2,sun,3,9,6.86,Ler
hy2,sun,3,10,8.129,Ler
hy2,sun,3,11,8.257,Ler
hy2,sun,3,12,6.773,Ler
hy2,sun,3,13,6.476,Ler
hy2,sun,3,14,6.689,Ler
hy2,sun,3,15,6.647,Ler
hy2,sun,3,16,4.697,Ler
phyBD,sun,3,1,5.335,Ler
phyBD,sun,3,2,4.318,Ler
phyBD,sun,3,3,4.697,Ler
phyBD,sun,3,4,4.53,Ler
phyBD,sun,3,5,4.742,Ler
phyBD,sun,3,6,3.088,Ler
phyBD,sun,3,7,4.699,Ler
phyBD,sun,3,8,2.583,Ler
phyBD,sun,3,9,2.541,Ler
phyBD,sun,3,10,3.472,Ler
phyBD,sun,3,11,2.286,Ler
phyB,sun,3,1,4.488,Ler
phyB,sun,3,2,2.663,Ler
phyB,sun,3,3,2.837,Ler
phyB,sun,3,4,4.106,Ler
phyB,sun,3,5,4.698,Ler
phyB,sun,3,6,4.869,Ler
phyB,sun,3,7,2.753,Ler
phyB,sun,3,8,4.363,Ler
phyB,sun,3,9,3.47,Ler
phyB,sun,3,10,2.539,Ler
phyB,sun,3,11,3.26,Ler
phyB,sun,3,12,2.117,Ler
phyB,sun,3,13,3.133,Ler
phyB,sun,3,14,3.769,Ler
phyB,sun,3,15,2.372,Ler
phyB,sun,3,16,2.415,Ler
phyE,sun,3,1,2.287,Ler
phyE,sun,3,2,2.285,Ler
phyE,sun,3,3,2.372,Ler
phyE,sun,3,4,1.401,Ler
phyE,sun,3,5,1.015,Ler
phyE,sun,3,6,1.439,Ler
phyE,sun,3,7,2.033,Ler
phyE,sun,3,8,1.609,Ler
phyE,sun,3,9,1.27,Ler
phyE,sun,3,10,1.525,Ler
phyE,sun,3,11,2.625,Ler
phyE,sun,3,12,1.904,Ler
phyE,sun,3,13,1.617,Ler
Ler,sun,3,1,2.793,Ler
Ler,sun,3,2,2.158,Ler
Ler,sun,3,3,2.456,Ler
Ler,sun,3,4,1.82,Ler
Ler,sun,3,5,1.812,Ler
Ler,sun,3,6,2.922,Ler
Ler,sun,3,7,3.134,Ler
Ler,sun,3,8,3.641,Ler
Ler,sun,3,9,2.2,Ler
Ler,sun,3,10,2.667,Ler
Ler,sun,3,11,1.947,Ler
Ler,sun,3,12,2.289,Ler
Ler,sun,3,13,1.991,Ler
Ler,sun,3,14,2.583,Ler
Ler,sun,3,15,1.694,Ler
Ler,sun,3,16,2.879,Ler
Ler,sun,3,17,2.032,Ler
Ler,sun,3,18,2.583,Ler
phyA,sun,3,1,2.564,Ler
phyA,sun,3,2,3.09,Ler
phyA,sun,3,3,3.345,Ler
phyA,sun,3,4,4.149,Ler
phyA,sun,3,5,3.175,Ler
phyA,sun,3,6,2.371,Ler
phyA,sun,3,7,3.093,Ler
phyA,sun,3,8,3.598,Ler
phyA,sun,3,9,1.948,Ler
phyA,sun,3,10,3.599,Ler
phyA,sun,3,11,2.817,Ler
phyA,sun,3,12,2.836,Ler
phyBDE,shade,1,1,4.528,Ler
phyBDE,shade,1,2,5.884,Ler
phyBDE,shade,1,3,4.48,Ler
phyBDE,shade,1,4,4.658,Ler
phyBDE,shade,1,5,4.352,Ler
phyBDE,shade,1,6,4.827,Ler
phyBDE,shade,1,7,3.598,Ler
phyBDE,shade,1,8,4.665,Ler
phyBDE,shade,1,9,5.374,Ler
phyBDE,shade,1,10,4.788,Ler
phyBDE,shade,1,11,5.203,Ler
phyBDE,shade,1,12,4.149,Ler
phyBDE,shade,1,13,2.243,Ler
phyBD,shade,1,1,3.945,Ler
phyBD,shade,1,2,6.495,Ler
phyBD,shade,1,3,4.698,Ler
phyBD,shade,1,4,4.53,Ler
phyBD,shade,1,5,2.109,Ler
phyBD,shade,1,6,2.032,Ler
phyBD,shade,1,7,1.781,Ler
phyBD,shade,1,8,2.623,Ler
phyBD,shade,1,9,3.939,Ler
phyBD,shade,1,10,3.43,Ler
phyBD,shade,1,11,1.863,Ler
phyE,shade,1,1,3.092,Ler
phyE,shade,1,2,3.599,Ler
phyE,shade,1,3,2.967,Ler
phyE,shade,1,4,3.134,Ler
phyE,shade,1,5,3.05,Ler
phyE,shade,1,6,2.626,Ler
phyE,shade,1,7,3.26,Ler
phyE,shade,1,8,1.736,Ler
phyE,shade,1,9,1.731,Ler
phyE,shade,1,10,2.031,Ler
