genotype,treatment,flat,day,epi,int1,int2,int3,pet1,pet2,pet3,pet4
phyEami7,shade,3,28,29.31,15.86,7.95,1.71,48.4,33.29,11.96,2.65
phyEami7,shade,3,35,43.18,44.59,50.15,25.79,80.63,87.41,72.11,33.61
phyEami7,shade,4,21,11.07,3.96,0,0,17.32,7.07,0,0
phyEami7,shade,4,28,28.57,20.5,11.88,3.33,51.63,43.64,22.21,5.1
phyEami7,shade,4,35,37.34,40.13,61.11,35.06,74.65,89.41,84.21,45.45
phyEami7,shade,5,21,5.53,2.13,0,0,12.46,3.42,0,0
phyEami7,shade,5,28,18.6,15.25,8.9,3.71,43.21,31.71,16.22,3.11
phyEami7,shade,5,35,25.82,32.72,41.66,25.35,67.24,75.55,70.26,38.04
phyEami7,shade,6,21,6.32,2.53,0,0,13.1,7.45,0,0
phyEami7,shade,6,28,18.98,15.08,9.37,3.38,42.67,45.88,16.11,6.56
phyEami7,shade,6,35,27.59,35.7,50.44,33.24,56.79,91.48,75.32,61.1
phyEami7,sun,2,21,7.6,1.99,0,0,10.5,2.63,0,0
phyEami7,sun,2,28,17.8,9.89,7.36,1.45,34.76,24.87,13.24,2.38
phyEami7,sun,2,35,26.56,18.81,23.98,18.02,57.68,63.26,67.39,32.52
phyEami7,sun,4,21,7.62,2.2,0,0,12.4,3.3,0,0
phyEami7,sun,4,28,23.3,11.52,6.93,3.37,38.28,22.95,13.26,5.01
phyEami7,sun,4,35,32.1,21.65,20.5,18.04,60.9,57.37,58.29,46.57
phyEami7,sun,6,21,4.57,2.41,0,0,12.1,9.99,0,0
phyEami7,sun,6,28,7.68,7.23,5.73,4.29,30,34.55,19.4,15.53
phyEami7,sun,6,35,11.45,10.87,11.71,17.68,41.37,62.04,47.85,56.35
phyEami7,shade,1,21,9.11,1.65,0,0,14.41,4.87,0,0
phyEami7,shade,1,28,22.67,12.49,8.57,3.29,44.82,32.59,17.43,4.29
phyEami7,shade,1,35,34.3,34.04,45.64,29.77,65.37,87.39,82.99,35.85
phyEami7,shade,2,21,12.33,2.6,0,0,16.56,4.5,0,0
phyEami7,shade,2,28,29.05,9.39,7.04,2.68,45.8,25.74,16.1,5.42
phyEami7,shade,2,35,46.25,33.13,47.56,36.13,69.77,73.84,85.15,51.56
phyEami7,shade,3,21,7.96,2.25,0,0,13.76,7.9,0,0
phyEami7,shade,3,28,22.44,13.26,8.17,3.37,44.53,28.19,15.17,3.55
phyEami7,shade,3,35,38.46,35.26,54.85,37.66,74.16,71.33,79.65,37.36
phyEami7,shade,3,21,7.38,2.17,0,0,11.85,2.78,0,0
phyEami7,shade,3,28,22.93,14.39,7.25,3.03,43.05,29.35,11.93,2.43
phyEami7,shade,3,35,36.76,39.48,42.52,29.26,78.22,74.06,66.15,30.94
phyEami7,shade,4,21,6.26,0.63,0,0,9.66,1.88,0,0
phyEami7,shade,4,28,25.74,13.41,4.05,1.84,41.86,23.08,9.93,2.21
phyEami7,shade,4,35,47.56,46.46,28,25.43,80.42,64.91,56.05,28.35
phyEami7,shade,6,21,7.83,2.67,0,0,12.64,3.87,0,0
phyEami7,shade,6,28,19.39,15.72,10.41,3.61,41.94,34,20.24,4.23
phyEami7,shade,6,35,29.42,40.07,62.2,40.67,71.27,96.23,98.57,44.42
phyEami7,sun,1,21,8.61,2.54,0,0,11.15,4.8,0,0
phyEami7,sun,1,28,21.16,10.31,7.77,1.31,36.15,25.92,13.31,5.36
phyEami7,sun,1,35,28.06,19.25,26.02,17.02,63.45,61.96,61.73,44.5
phyEami7,sun,3,21,6.5,1.42,0,0,11.19,2.27,0,0
phyEami7,sun,3,28,17.17,8.71,4.44,0.98,42.52,19.66,7.18,1.7
phyEami7,sun,3,35,26.62,21.88,23.86,13.92,73.37,65.36,51.99,18.66
phyEami7,sun,3,21,6.87,1.16,0,0,9.35,2.7,0,0
phyEami7,sun,3,28,19.27,8.42,4.71,0.95,38.46,18.47,6.75,1.55
phyEami7,sun,3,35,27,17.45,19.92,12.96,69.7,49.96,44.68,19.48
phyEami7,sun,4,21,5.87,1.46,0,0,11.46,2.78,0,0
phyEami7,sun,4,28,19.33,10.37,5.41,1.54,43.55,23.88,10.52,1.59
phyEami7,sun,4,35,27.57,23.13,25.27,15.62,77.17,65.88,55.88,27.46
phyB1,shade,2,21,35.74,1.44,0,0,15.1,6.7,0,0
phyB1,shade,2,28,76.71,2.95,39.48,8.15,32.77,21.66,22.99,15.32
phyB1,shade,2,35,82.17,3.58,87.24,42.02,38.49,28.94,75.31,69.52
phyB1,shade,4,21,20.72,4.14,0,0,13.82,9.02,0,0
phyB1,shade,4,28,51.88,31.11,14.59,3.53,34.97,41.93,13.14,5.9
phyB1,shade,4,35,60.6,58.8,67.75,30.47,41.27,67.16,58.19,41.29
phyB1,shade,4,21,36.95,9.41,0,0,23.51,9.71,0,0
phyB1,shade,4,28,76.18,39.51,25.37,12.05,51.17,41.02,30.09,10.21
phyB1,shade,4,35,79.68,63.22,64.79,56.7,59.69,58.25,78.14,48.95
phyB1,shade,4,21,34.07,5.17,0,0,19.54,6.44,0,0
phyB1,shade,4,28,79.41,34.48,15.96,4.73,39.4,39.27,14.94,3.44
phyB1,shade,4,35,87.74,71.27,65.01,30.2,47.51,72.81,57.57,30.27
phyB1,shade,5,21,22.65,3.27,0,0,20.42,4.41,0,0
phyB1,shade,5,28,57.35,28.32,12.9,3.96,44.01,28.98,14.19,3.06
phyB1,shade,5,35,67.48,59.78,55.99,39.32,53.2,47.26,70.95,30.34
phyB1,shade,6,21,17.01,4.03,0,0,18.87,4.73,0,0
phyB1,shade,6,28,47.93,26.7,15.07,4.86,43.24,26.41,17.75,8.34
phyB1,shade,6,35,54.6,56.93,55.58,33.68,52.64,53.34,73.45,61.8
phyB1,sun,2,21,30.06,5.01,0,0,24.09,3.65,0,0
phyB1,sun,2,28,68.15,30.49,14.7,4.95,46.76,21.15,17.15,7.05
phyB1,sun,2,35,77.45,48.23,35.37,29.88,62.41,45.15,62.16,55.62
phyB1,sun,4,21,31.6,7.29,1.13,0,17.98,5.7,0,0
phyB1,sun,4,28,55.73,33.97,12.12,4.12,30.06,22.4,12.72,6.66
phyB1,sun,4,35,61.53,45.64,26.77,22.77,38,46.46,40.77,38.1
phyB1,sun,4,21,14.97,2.85,0,0,12.23,4.51,0,0
phyB1,sun,4,28,49.71,23.49,14.83,3.24,34.52,27.14,13.68,3.73
phyB1,sun,4,35,60.07,40.88,46.98,25.08,45,60.06,54.68,31.36
phyB1,sun,4,21,23.97,5.08,1.61,0,19.04,5.91,0,0
phyB1,sun,4,28,49.64,33.9,20.43,8.24,44,31.52,22.31,6.19
phyB1,sun,4,35,58.24,52.78,51.41,37.72,56.85,60.45,80.31,37.22
phyB1,sun,5,21,21.87,2.6,0,0,14.27,5.36,0,0
phyB1,sun,5,28,55.6,20.71,11.87,3.96,40.27,27.96,14.37,3.47
phyB1,sun,5,35,63.68,33.62,31.73,24.88,51.16,60.36,57.04,27.25
phyB1,sun,6,21,10.99,2.28,0,0,10.95,1.91,0,0
phyB1,sun,6,28,42.96,24.44,6.93,0.78,32.8,20.56,6.54,1.76
phyB1,sun,6,35,49.3,41.33,25.77,11.59,37.45,32.16,24.27,17.7
phyB2,shade,1,21,8.69,2.49,0,0,12.41,6.3,0,0
phyB2,shade,1,28,18.86,15.64,9.98,2.61,38.68,35.47,14.71,3.47
phyB2,shade,1,35,29.9,40.47,54.81,33.43,59.38,94.54,77.88,37.71
phyB2,shade,3,21,7.5,2.65,0,0,12.32,4.01,0,0
phyB2,shade,3,28,26.71,27.26,14.08,5.8,46.04,33.44,20.32,5.94
phyB2,shade,3,35,36.26,64.08,56.68,33.64,68.29,72.61,81.11,44.84
phyB2,shade,4,21,5.39,1.21,0,0,8.33,2.05,0,0
phyB2,shade,4,28,16.44,12.76,4.49,2.36,30.33,16.77,9.66,2.2
phyB2,shade,4,35,30.14,50.9,43.25,33.25,51.08,47.12,54.85,24.57
phyB2,shade,5,21,4.61,1.1,0,0,9.69,3.3,0,0
phyB2,shade,5,28,19.43,16.45,7.07,3.06,40.09,32.41,11.04,4.05
phyB2,shade,5,35,40,64.82,55.96,36.71,63.58,84.62,62.24,50.75
phyB2,shade,6,21,3.55,1.14,0,0,11.6,1.64,0,0
phyB2,shade,6,28,16.23,18.84,5.59,1.11,41.3,20.55,8.08,1.76
phyB2,shade,6,35,27.36,45.84,32.9,14.12,61.19,48.15,39.51,24.98
phyB2,shade,6,21,4.37,1.1,0,0,7.2,1.09,0,0
phyB2,shade,6,28,21.76,12.64,2.48,0.98,35.69,16.57,6.47,0.93
phyB2,shade,6,35,36.2,35.99,18.06,9.16,52.41,50.81,40.6,10.83
phyB2,sun,1,21,7.96,2.44,0,0,15.18,2.63,0,0
phyB2,sun,1,28,22.06,14.62,7.6,1.77,43.01,25.14,9.52,3.33
phyB2,sun,1,35,33.3,31.52,28.37,15.48,65.9,63.81,48.57,41.15
phyB2,sun,3,21,6.65,2.52,0,0,10.28,2.47,0,0
phyB2,sun,3,28,19.64,14.99,5.88,0.99,36.8,20.15,8.93,2.42
phyB2,sun,3,35,26.41,28.04,29.2,19.28,60.33,60.06,52.71,30.75
phyB2,sun,4,21,7.73,2.6,0,0,9.89,2.93,0,0
phyB2,sun,4,28,21.13,16.36,6.1,2,37.31,16.01,8.97,3.04
phyB2,sun,4,35,30.86,33.96,22.3,14.17,58.71,43.24,47.3,26.18
phyB2,sun,5,21,4.14,0.99,0,0,8.94,1.62,0,0
phyB2,sun,5,28,14.93,11.83,4,0.91,36.38,18.94,6.37,1.29
phyB2,sun,5,35,24.8,31.72,28.52,12.52,56.94,67.33,51.92,21.08
phyB2,sun,6,21,2.73,0.95,0,0,13.9,3.89,0,0
phyB2,sun,6,28,7.55,9.58,6.99,2.37,36.61,23.11,11.46,4.51
phyB2,sun,6,35,10.94,15.3,19.2,19.15,56.21,47.69,45.67,43
phyB2,sun,6,21,4.26,1.14,0,0,8.15,3.34,0,0
phyB2,sun,6,28,15.16,9.99,5.27,1.27,34.13,29.53,9.56,2.38
phyB2,sun,6,35,21.46,23.32,23.33,16.9,58.45,82.19,56.51,40.32
Moneymaker,shade,1,21,8.95,2.96,0,0,14.56,4.15,0,0
Moneymaker,shade,1,28,24.34,16.66,7.87,1.47,40.72,30.59,14.8,2.71
Moneymaker,shade,1,35,37.8,46.85,48.61,30.14,68.06,83.27,70.19,29.46
Moneymaker,shade,2,21,13.24,2.49,0,0,18.52,5.6,0,0
Moneymaker,shade,2,28,31.17,16.73,7.95,2.23,47.88,35.47,15.38,3.29
Moneymaker,shade,2,35,41.9,43.18,39.16,26.85,67.35,92.68,62.96,29.62
Moneymaker,shade,2,21,11.84,4.34,0,0,19.43,15.73,0,0
Moneymaker,shade,2,28,23.96,17.06,13.51,5.22,46.01,51.84,25.1,10.51
Moneymaker,shade,2,35,30.3,33.38,43.58,31.57,62.62,94.58,83.1,58.89
Moneymaker,shade,3,21,8.86,2.58,0,0,14.18,4.52,0,0
Moneymaker,shade,3,28,20.38,16.33,6.84,1.61,37.91,30.79,12.38,1.41
Moneymaker,shade,3,35,31.3,53.73,46.52,27.33,56.16,87.1,60.8,25.8
Moneymaker,shade,3,21,8.83,1.98,0,0,13.46,1.74,0,0
Moneymaker,shade,3,28,23.53,13.5,4.57,1.2,39.69,0,0,0
Moneymaker,shade,3,35,39.25,39.2,43.86,14.73,61.31,0,46.11,13.55
Moneymaker,shade,4,21,7.93,1.6,0,0,15.17,4.17,0,0
Moneymaker,shade,4,28,26.57,17.29,6.7,1.97,46.72,28.45,13.67,2.08
Moneymaker,shade,4,35,43.74,52.95,40.77,28.62,65.32,75.91,58.4,27.2
Moneymaker,sun,1,21,6.98,2.39,0,0,17.32,6.49,0,0
Moneymaker,sun,1,28,18.06,16.91,6.91,1.27,48.2,40.32,14.02,5.62
Moneymaker,sun,1,35,24.5,31.22,20.77,15.68,66.18,89.3,56.91,44.68
Moneymaker,sun,2,21,7.11,1.83,0,0,12.79,2.42,0,0
Moneymaker,sun,2,28,19.05,13.5,5.13,1.44,42.2,23.69,11.6,1.68
Moneymaker,sun,2,35,25.58,27.93,22.92,15.83,68.57,73.96,67.4,32.26
Moneymaker,sun,2,21,9.54,3.03,0,0,18.14,6.49,0,0
Moneymaker,sun,2,28,19.8,12.41,8.48,4.48,45.01,32.51,20.68,4.01
Moneymaker,sun,2,35,26.16,19.68,21.28,29.02,62.64,61.92,74.27,31.91
Moneymaker,sun,3,21,9.42,2.41,0,0,14.42,3.52,0,0
Moneymaker,sun,3,28,21.43,15.84,4.64,1.6,42.33,26.69,12.72,3.06
Moneymaker,sun,3,35,31.02,29.54,17.75,14.53,67.43,69.29,56.67,22.97
Moneymaker,sun,3,21,7.31,1.43,0,0,9.72,2.08,0,0
Moneymaker,sun,3,28,22.22,10.81,4.33,1.09,34.66,18,4.43,1.91
Moneymaker,sun,3,35,33.56,25.4,19.31,9.76,58.06,61.62,30.21,19.11
Moneymaker,sun,4,21,8.2,2.11,0,0,14.17,3.3,0,0
Moneymaker,sun,4,28,22.6,15.26,5.5,1.22,41.6,23.11,7.18,1.93
Moneymaker,sun,4,35,31.69,29.34,21.61,12.91,66.04,57.87,37.26,23.66
